"Source Name"	"Characteristics[Subject ID]"	"Characteristics[Strain]"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Sex]"	"Factor Value[Age]"	"Characteristics[AgeUnit]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organ]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Tissue]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Cell]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Assay Type]"	"Characteristics[Biological Replicate]"	"Characteristics[Technical Replicate]"	"Factor Value[Compound]"	"Term Source REF"	"Term Accession Number"	"Characteristics[StdInChIKey]"	"Comment [ChEMBL ID]"	"Characteristics[Eniantiomer]"	"Characteristics[Compound Class]"	"Characteristics[Control]"	"Characteristics[Sample Match]"	"Factor Value[Dose]"	"Characteristics[DoseUnit]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose Duration]"	"Characteristics[Dose DurationUnit]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose Frequency]"	"Characteristics[Vehicle]"	"Characteristics[Route]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample TimePoint]"	"Characteristics[Sample TimePointUnit]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Treatment Group]"	"Protocol REF"	"Sample Name"
"LUM-4-BR200.TCD 0.025-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"2,3,7,8-tetrachlorodibenzodioxine"	"CHEBI"	"CHEBI:28119"	"HGUFODBRKLSHSI-UHFFFAOYSA-N"	"CHEMBL30327"	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR200.DMSO-24h-R-1-1"	"0.025"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR200.TCD 0.025-24h-R-1-1"
"LUM-4-BR200.TCD 0.025-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"2,3,7,8-tetrachlorodibenzodioxine"	"CHEBI"	"CHEBI:28119"	"HGUFODBRKLSHSI-UHFFFAOYSA-N"	"CHEMBL30327"	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR200.DMSO-72h-R-1-1"	"0.025"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR200.TCD 0.025-72h-R-1-1"
"LUM-4-BR200.TCD 0.05-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"2,3,7,8-tetrachlorodibenzodioxine"	"CHEBI"	"CHEBI:28119"	"HGUFODBRKLSHSI-UHFFFAOYSA-N"	"CHEMBL30327"	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR200.DMSO-24h-R-1-1"	"0.05"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR200.TCD 0.05-24h-R-1-1"
"LUM-4-BR200.TCD 0.05-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"2,3,7,8-tetrachlorodibenzodioxine"	"CHEBI"	"CHEBI:28119"	"HGUFODBRKLSHSI-UHFFFAOYSA-N"	"CHEMBL30327"	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR200.DMSO-72h-R-1-1"	"0.05"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR200.TCD 0.05-72h-R-1-1"
"LUM-4-BR200.Water-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"24"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR200.Water-24h-R-1-1"
"LUM-4-BR200.Water-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"72"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR200.Water-72h-R-1-1"
"LUM-4-BR234-0h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"0"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234-0h-R-1-1"
"LUM-4-BR234-0h-R-2-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"0"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234-0h-R-2-1"
"LUM-4-BR234.BEC 100-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-4-BR234.DMSO-24h-R-1-1"	"100"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.BEC 100-24h-R-1-1"
"LUM-4-BR234.BEC 100-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-4-BR234.DMSO-72h-R-1-1"	"100"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.BEC 100-72h-R-1-1"
"LUM-4-BR234.BIS 12.5-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"bisphenol A"	"CHEBI"	"CHEBI:33216"	"IISBACLAFKSPIT-UHFFFAOYSA-N"	"CHEMBL418971"	""	"Non-carcinogen"	"FALSE"	"LUM-4-BR234.DMSO-24h-R-1-1"	"12.5"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.BIS 12.5-24h-R-1-1"
"LUM-4-BR234.BIS 12.5-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"bisphenol A"	"CHEBI"	"CHEBI:33216"	"IISBACLAFKSPIT-UHFFFAOYSA-N"	"CHEMBL418971"	""	"Non-carcinogen"	"FALSE"	"LUM-4-BR234.DMSO-72h-R-1-1"	"12.5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.BIS 12.5-72h-R-1-1"
"LUM-4-BR234.BIS 25-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"bisphenol A"	"CHEBI"	"CHEBI:33216"	"IISBACLAFKSPIT-UHFFFAOYSA-N"	"CHEMBL418971"	""	"Non-carcinogen"	"FALSE"	"LUM-4-BR234.DMSO-24h-R-1-1"	"25"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.BIS 25-24h-R-1-1"
"LUM-4-BR234.BIS 25-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"bisphenol A"	"CHEBI"	"CHEBI:33216"	"IISBACLAFKSPIT-UHFFFAOYSA-N"	"CHEMBL418971"	""	"Non-carcinogen"	"FALSE"	"LUM-4-BR234.DMSO-72h-R-1-1"	"25"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.BIS 25-72h-R-1-1"
"LUM-4-BR234.CAD 12.5-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cadmium dichloride"	"CHEBI"	"CHEBI:35456"	"YKYOUMDCQGMQQO-UHFFFAOYSA-L"	"CHEMBL1458880"	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR234.Water-24h-R-1-1"	"12.5"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.CAD 12.5-24h-R-1-1"
"LUM-4-BR234.CAD 12.5-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cadmium dichloride"	"CHEBI"	"CHEBI:35456"	"YKYOUMDCQGMQQO-UHFFFAOYSA-L"	"CHEMBL1458880"	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR234.Water-72h-R-1-1"	"12.5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.CAD 12.5-72h-R-1-1"
"LUM-4-BR234.COS 150-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cobalt(2+) sulfate"	"CHEBI"	"CHEBI:53470"	"KTVIXTQDYHMGHF-UHFFFAOYSA-L"	""	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR234.Water-24h-R-1-1"	"150"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.COS 150-24h-R-1-1"
"LUM-4-BR234.COS 150-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cobalt(2+) sulfate"	"CHEBI"	"CHEBI:53470"	"KTVIXTQDYHMGHF-UHFFFAOYSA-L"	""	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR234.Water-72h-R-1-1"	"150"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.COS 150-72h-R-1-1"
"LUM-4-BR234.COS 75-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cobalt(2+) sulfate"	"CHEBI"	"CHEBI:53470"	"KTVIXTQDYHMGHF-UHFFFAOYSA-L"	""	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR234.Water-24h-R-1-1"	"75"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.COS 75-24h-R-1-1"
"LUM-4-BR234.COS 75-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cobalt(2+) sulfate"	"CHEBI"	"CHEBI:53470"	"KTVIXTQDYHMGHF-UHFFFAOYSA-L"	""	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR234.Water-72h-R-1-1"	"75"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.COS 75-72h-R-1-1"
"LUM-4-BR234.DBA 125-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"dibenz[a,h]anthracene"	"CHEBI"	"CHEBI:35299"	"LHRCREOYAASXPZ-UHFFFAOYSA-N"	"CHEMBL1346946"	""	"Genotoxic"	"FALSE"	"LUM-4-BR234.DMSO-24h-R-1-1"	"125"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.DBA 125-24h-R-1-1"
"LUM-4-BR234.DBA 125-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"dibenz[a,h]anthracene"	"CHEBI"	"CHEBI:35299"	"LHRCREOYAASXPZ-UHFFFAOYSA-N"	"CHEMBL1346946"	""	"Genotoxic"	"FALSE"	"LUM-4-BR234.DMSO-72h-R-1-1"	"125"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.DBA 125-72h-R-1-1"
"LUM-4-BR234.DBA 62.5-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"dibenz[a,h]anthracene"	"CHEBI"	"CHEBI:35299"	"LHRCREOYAASXPZ-UHFFFAOYSA-N"	"CHEMBL1346946"	""	"Genotoxic"	"FALSE"	"LUM-4-BR234.DMSO-24h-R-1-1"	"62.5"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.DBA 62.5-24h-R-1-1"
"LUM-4-BR234.DBA 62.5-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"dibenz[a,h]anthracene"	"CHEBI"	"CHEBI:35299"	"LHRCREOYAASXPZ-UHFFFAOYSA-N"	"CHEMBL1346946"	""	"Genotoxic"	"FALSE"	"LUM-4-BR234.DMSO-72h-R-1-1"	"62.5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.DBA 62.5-72h-R-1-1"
"LUM-4-BR234.DMSO-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"dimethyl sulfoxide"	"CHEBI"	"CHEBI:28262"	"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	"CHEMBL504"	""	"DMSO"	"TRUE"	""	"0.0050"	"percent"	"UO"	"UO:0000187"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.DMSO-24h-R-1-1"
"LUM-4-BR234.DMSO-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"dimethyl sulfoxide"	"CHEBI"	"CHEBI:28262"	"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	"CHEMBL504"	""	"DMSO"	"TRUE"	""	"0.0050"	"percent"	"UO"	"UO:0000187"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.DMSO-72h-R-1-1"
"LUM-4-BR234.NME 1000-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"N-methyl-N-nitrosurea"	"CHEBI"	"CHEBI:50102"	"ZRKWMRDKSOPRRS-UHFFFAOYSA-N"	"CHEMBL288958"	""	"Genotoxic"	"FALSE"	"LUM-4-BR234.Water-24h-R-1-1"	"1000"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.NME 1000-24h-R-1-1"
"LUM-4-BR234.NME 1000-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"N-methyl-N-nitrosurea"	"CHEBI"	"CHEBI:50102"	"ZRKWMRDKSOPRRS-UHFFFAOYSA-N"	"CHEMBL288958"	""	"Genotoxic"	"FALSE"	"LUM-4-BR234.Water-72h-R-1-1"	"1000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.NME 1000-72h-R-1-1"
"LUM-4-BR234.NME 500-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"N-methyl-N-nitrosurea"	"CHEBI"	"CHEBI:50102"	"ZRKWMRDKSOPRRS-UHFFFAOYSA-N"	"CHEMBL288958"	""	"Genotoxic"	"FALSE"	"LUM-4-BR234.Water-24h-R-1-1"	"500"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.NME 500-24h-R-1-1"
"LUM-4-BR234.NME 500-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"N-methyl-N-nitrosurea"	"CHEBI"	"CHEBI:50102"	"ZRKWMRDKSOPRRS-UHFFFAOYSA-N"	"CHEMBL288958"	""	"Genotoxic"	"FALSE"	"LUM-4-BR234.Water-72h-R-1-1"	"500"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.NME 500-72h-R-1-1"
"LUM-4-BR234.PHA 2000-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"phthalic anhydride"	"CHEBI"	"CHEBI:36605"	"LGRFSURHDFAFJT-UHFFFAOYSA-N"	"CHEMBL1371297"	""	"Non-carcinogen"	"FALSE"	"LUM-4-BR234.DMSO-24h-R-1-1"	"2000"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.PHA 2000-24h-R-1-1"
"LUM-4-BR234.PHA 2000-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"phthalic anhydride"	"CHEBI"	"CHEBI:36605"	"LGRFSURHDFAFJT-UHFFFAOYSA-N"	"CHEMBL1371297"	""	"Non-carcinogen"	"FALSE"	"LUM-4-BR234.DMSO-72h-R-1-1"	"2000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.PHA 2000-72h-R-1-1"
"LUM-4-BR234.PHA 4000-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"phthalic anhydride"	"CHEBI"	"CHEBI:36605"	"LGRFSURHDFAFJT-UHFFFAOYSA-N"	"CHEMBL1371297"	""	"Non-carcinogen"	"FALSE"	"LUM-4-BR234.DMSO-24h-R-1-1"	"4000"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.PHA 4000-24h-R-1-1"
"LUM-4-BR234.PHA 4000-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"phthalic anhydride"	"CHEBI"	"CHEBI:36605"	"LGRFSURHDFAFJT-UHFFFAOYSA-N"	"CHEMBL1371297"	""	"Non-carcinogen"	"FALSE"	"LUM-4-BR234.DMSO-72h-R-1-1"	"4000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.PHA 4000-72h-R-1-1"
"LUM-4-BR234.SDI 5-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"sodium dichromate"	"CHEBI"	"CHEBI:39483"	"KIEOKOFEPABQKJ-UHFFFAOYSA-N"	""	""	"Genotoxic"	"FALSE"	"LUM-4-BR234.Water-24h-R-1-1"	"5"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.SDI 5-24h-R-1-1"
"LUM-4-BR234.SDI 5-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"sodium dichromate"	"CHEBI"	"CHEBI:39483"	"KIEOKOFEPABQKJ-UHFFFAOYSA-N"	""	""	"Genotoxic"	"FALSE"	"LUM-4-BR234.Water-72h-R-1-1"	"5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.SDI 5-72h-R-1-1"
"LUM-4-BR234.TCD 0.025-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"2,3,7,8-tetrachlorodibenzodioxine"	"CHEBI"	"CHEBI:28119"	"HGUFODBRKLSHSI-UHFFFAOYSA-N"	"CHEMBL30327"	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR234.DMSO-24h-R-1-1"	"0.025"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.TCD 0.025-24h-R-1-1"
"LUM-4-BR234.TCD 0.025-72h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"2,3,7,8-tetrachlorodibenzodioxine"	"CHEBI"	"CHEBI:28119"	"HGUFODBRKLSHSI-UHFFFAOYSA-N"	"CHEMBL30327"	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR234.DMSO-72h-R-1-1"	"0.025"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.TCD 0.025-72h-R-1-1"
"LUM-4-BR234.TCD 0.05-24h-R-1-1"	""	"BR234"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"2,3,7,8-tetrachlorodibenzodioxine"	"CHEBI"	"CHEBI:28119"	"HGUFODBRKLSHSI-UHFFFAOYSA-N"	"CHEMBL30327"	""	"Non-genotoxic"	"FALSE"	"LUM-4-BR234.DMSO-24h-R-1-1"	"0.05"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-4-BR234.TCD 0.05-24h-R-1-1"
